Date,Close,sigma2
2003-05-29,1371.51,0.000071
2003-05-30,1391.72,0.000074
2003-06-02,1396.70,0.000064
2003-06-03,1403.29,0.000058
2003-06-04,1424.90,0.000052
2003-06-05,1430.63,0.000047
2003-06-06,1427.27,0.000042
2003-06-09,1410.21,0.000044
2003-06-10,1423.11,0.000063
2003-06-11,1441.86,0.000054
2003-06-12,1443.41,0.000047
2003-06-13,1429.11,0.000045
2003-06-16,1461.15,0.000059
2003-06-17,1462.48,0.000059
2003-06-18,1460.32,0.000056
2003-06-19,1438.09,0.000056
2003-06-20,1439.54,0.000084
2003-06-23,1419.24,0.000079
2003-06-24,1421.86,0.000106
2003-06-25,1410.09,0.000098
2003-06-26,1425.82,0.000110
2003-06-27,1411.96,0.000094
2003-06-30,1409.48,0.000109
2003-07-01,1421.03,0.000107
2003-07-02,1437.61,0.000093
2003-07-03,1425.96,0.000080
2003-07-07,1453.07,0.000091
2003-07-08,1458.51,0.000079
2003-07-09,1450.51,0.000072
2003-07-10,1430.96,0.000078
2003-07-11,1444.70,0.000102
2003-07-14,1453.00,0.000088
2003-07-15,1448.02,0.000078
2003-07-16,1438.85,0.000080
2003-07-17,1421.11,0.000088
2003-07-18,1437.88,0.000110
2003-07-21,1416.88,0.000094
2003-07-22,1430.35,0.000123
2003-07-23,1431.10,0.000106
2003-07-24,1420.95,0.000100
2003-07-25,1445.70,0.000109
2003-07-28,1442.58,0.000093
2003-07-29,1432.31,0.000092
2003-07-30,1429.90,0.000101
2003-07-31,1434.33,0.000100
2003-08-01,1419.64,0.000091
2003-08-04,1423.51,0.000107
2003-08-05,1398.42,0.000099
2003-08-06,1401.01,0.000138
2003-08-07,1411.26,0.000128
2003-08-08,1416.30,0.000112
2003-08-11,1421.01,0.000102
2003-08-12,1435.17,0.000093
2003-08-13,1426.55,0.000080
2003-08-14,1435.95,0.000087
2003-08-15,1436.43,0.000076
2003-08-18,1449.65,0.000073
2003-08-19,1453.45,0.000063
2003-08-20,1450.60,0.000058
2003-08-21,1454.98,0.000058
2003-08-22,1440.16,0.000053
2003-08-25,1441.11,0.000069
2003-08-26,1445.50,0.000065
2003-08-27,1445.84,0.000060
2003-08-28,1454.70,0.000057
2003-08-29,1462.30,0.000051
2003-09-02,1482.61,0.000045
2003-09-03,1489.25,0.000041
2003-09-04,1491.77,0.000037
2003-09-05,1482.24,0.000035
2003-09-08,1497.22,0.000042
2003-09-09,1484.93,0.000037
2003-09-10,1467.29,0.000047
2003-09-11,1475.71,0.000066
2003-09-12,1478.93,0.000059
2003-09-15,1473.43,0.000055
2003-09-16,1494.50,0.000058
2003-09-17,1489.69,0.000051
2003-09-18,1509.47,0.000053
2003-09-19,1504.74,0.000047
2003-09-22,1485.16,0.000049
2003-09-23,1494.19,0.000071
2003-09-24,1465.66,0.000063
2003-09-25,1457.09,0.000103
2003-09-26,1448.03,0.000110
2003-09-29,1462.20,0.000116
2003-09-30,1446.77,0.000100
2003-10-01,1479.23,0.000118
2003-10-02,1482.36,0.000103
2003-10-03,1496.32,0.000095
2003-10-06,1502.86,0.000082
2003-10-07,1510.05,0.000074
2003-10-08,1502.65,0.000066
2003-10-09,1509.86,0.000071
2003-10-10,1509.00,0.000063
2003-10-13,1519.60,0.000062
2003-10-14,1525.60,0.000054
2003-10-15,1521.95,0.000049
2003-10-16,1526.80,0.000050
2003-10-17,1511.18,0.000046
2003-10-20,1518.97,0.000061
2003-10-21,1520.93,0.000054
2003-10-22,1498.28,0.000051
2003-10-23,1503.26,0.000078
2003-10-24,1496.19,0.000071
2003-10-27,1499.43,0.000076
2003-10-28,1522.21,0.000070
2003-10-29,1524.41,0.000061
2003-10-30,1523.12,0.000057
2003-10-31,1528.62,0.000056
2003-11-03,1540.71,0.000051
2003-11-04,1532.34,0.000045
2003-11-05,1530.54,0.000051
2003-11-06,1539.75,0.000051
2003-11-07,1533.02,0.000045
2003-11-10,1524.26,0.000049
2003-11-11,1523.47,0.000056
2003-11-12,1541.49,0.000054
2003-11-13,1541.30,0.000047
2003-11-14,1529.83,0.000046
2003-11-17,1520.07,0.000056
2003-11-18,1506.32,0.000063
2003-11-19,1518.51,0.000076
2003-11-20,1505.76,0.000066
2003-11-21,1508.21,0.000078
2003-11-24,1532.68,0.000073
2003-11-25,1535.49,0.000064
2003-11-26,1542.39,0.000059
2003-11-28,1542.07,0.000053
2003-12-01,1559.50,0.000052
2003-12-02,1554.41,0.000045
2003-12-03,1552.09,0.000048
2003-12-04,1559.47,0.000048
2003-12-05,1547.51,0.000043
2003-12-08,1558.96,0.000053
2003-12-09,1545.68,0.000046
2003-12-10,1544.31,0.000058
2003-12-11,1562.23,0.000057
2003-12-12,1566.50,0.000049
2003-12-15,1557.66,0.000046
2003-12-16,1568.02,0.000052
2003-12-17,1570.15,0.000046
2003-12-18,1588.90,0.000043
2003-12-19,1588.19,0.000038
2003-12-22,1594.43,0.000038
2003-12-23,1598.93,0.000035
2003-12-24,1596.05,0.000032
2003-12-26,1598.74,0.000033
2003-12-29,1619.16,0.000032
2003-12-30,1619.59,0.000030
2003-12-31,1622.94,0.000029
2004-01-02,1618.05,0.000028
2004-01-05,1638.10,0.000031
2004-01-06,1640.30,0.000028
2004-01-07,1644.60,0.000027
2004-01-08,1652.83,0.000026
2004-01-09,1638.13,0.000023
2004-01-12,1646.03,0.000034
2004-01-13,1637.33,0.000031
2004-01-14,1650.96,0.000037
2004-01-15,1653.20,0.000032
2004-01-16,1664.57,0.000031
2004-01-20,1663.02,0.000028
2004-01-21,1676.07,0.000028
2004-01-22,1670.73,0.000025
2004-01-23,1667.26,0.000029
2004-01-26,1687.44,0.000030
2004-01-27,1670.90,0.000028
2004-01-28,1648.43,0.000041
2004-01-29,1657.09,0.000063
2004-01-30,1652.72,0.000056
2004-02-02,1658.79,0.000058
2004-02-03,1659.92,0.000053
2004-02-04,1646.29,0.000050
2004-02-05,1649.35,0.000061
2004-02-06,1670.14,0.000057
2004-02-09,1666.16,0.000050
2004-02-10,1674.55,0.000051
2004-02-11,1693.03,0.000046
2004-02-12,1684.92,0.000040
2004-02-13,1675.86,0.000045
2004-02-17,1692.22,0.000051
2004-02-18,1684.89,0.000044
2004-02-19,1678.01,0.000048
2004-02-20,1673.71,0.000052
2004-02-23,1669.20,0.000054
2004-02-24,1666.42,0.000056
